elapsed_s,lhl,lhm,lgm,lgl,lpl,lrf,lta,lvl
354.94,158,-133,111,243,-128,-202,85,-75
354.9405,158,-133,111,243,-128,-202,85,-76
354.941,158,-133,111,243,-128,-202,85,-75
354.9415,158,-133,111,244,-129,-202,86,-75
354.942,158,-133,111,243,-129,-202,86,-76
354.9425,158,-133,111,244,-129,-202,86,-75
354.943,158,-133,111,244,-129,-202,86,-76
354.9435,158,-133,110,245,-129,-202,86,-76
354.944,158,-133,110,245,-129,-202,86,-75
354.9445,158,-133,110,245,-129,-202,86,-76
354.945,158,-133,110,246,-128,-202,86,-75
354.9455,158,-133,110,246,-129,-202,85,-76
354.946,157,-133,110,246,-128,-202,85,-75
354.9465,157,-133,110,246,-129,-202,85,-76
354.947,158,-133,109,246,-129,-202,85,-75
354.9475,157,-133,110,246,-129,-202,85,-75
354.948,157,-133,110,246,-129,-202,85,-76
354.9485,157,-133,111,245,-129,-202,85,-75
354.949,157,-133,111,244,-128,-202,85,-76
354.9495,158,-133,112,242,-128,-202,85,-76
354.95,157,-133,112,241,-127,-202,85,-75
354.9505,157,-133,112,241,-127,-202,85,-75
354.951,157,-133,111,241,-127,-202,85,-75
354.9515,157,-133,111,242,-127,-202,85,-76
354.952,157,-133,111,243,-128,-202,85,-76
354.9525,157,-133,110,243,-128,-202,85,-75
354.953,158,-133,110,244,-128,-202,85,-75
354.9535,158,-133,110,244,-128,-202,85,-76
354.954,158,-133,110,244,-129,-202,86,-76
354.9545,158,-133,110,244,-129,-202,85,-75
354.955,158,-133,110,245,-128,-202,85,-75
354.9555,158,-133,110,245,-128,-202,85,-75
354.956,158,-133,110,245,-129,-202,85,-76
354.9565,158,-133,110,245,-129,-202,85,-75
354.957,158,-133,110,245,-129,-202,85,-75
354.9575,158,-133,111,245,-129,-202,85,-75
354.958,158,-133,111,245,-129,-202,86,-75
354.9585,158,-133,111,244,-129,-202,85,-75
354.959,158,-133,111,243,-129,-202,85,-75
354.9595,158,-133,111,242,-129,-202,85,-75
354.96,158,-133,111,241,-129,-203,85,-75
354.9605,158,-133,112,241,-129,-202,85,-75
354.961,158,-133,112,241,-128,-202,85,-75
354.9615,158,-133,112,242,-128,-202,85,-75
354.962,158,-133,111,243,-128,-202,85,-75
354.9625,158,-133,111,244,-127,-202,85,-75
354.963,158,-133,110,244,-127,-202,85,-75
354.9635,158,-133,110,244,-128,-202,85,-75
354.964,158,-133,109,244,-127,-202,85,-75
354.9645,158,-133,110,244,-128,-202,85,-75
354.965,158,-133,110,245,-128,-202,85,-76
354.9655,158,-133,110,244,-128,-202,85,-75
354.966,158,-133,111,245,-129,-202,85,-75
354.9665,158,-133,111,244,-129,-203,85,-75
354.967,159,-133,111,244,-129,-202,85,-75
354.9675,158,-133,110,243,-129,-202,84,-75
354.968,158,-133,110,243,-129,-202,85,-75
354.9685,158,-133,111,243,-129,-202,85,-75
354.969,159,-133,110,243,-129,-203,85,-75
354.9695,158,-133,111,244,-128,-203,85,-75
354.97,159,-133,111,244,-129,-203,85,-75
354.9705,159,-133,111,244,-129,-202,85,-75
354.971,159,-133,111,244,-129,-203,85,-75
354.9715,159,-133,110,245,-129,-202,85,-75
354.972,158,-133,110,245,-129,-202,85,-75
354.9725,159,-133,109,245,-129,-203,85,-75
354.973,158,-133,110,245,-129,-202,85,-76
354.9735,159,-133,109,245,-129,-203,85,-75
354.974,159,-133,110,244,-129,-202,85,-75
354.9745,159,-133,111,244,-129,-203,85,-75
354.975,159,-133,111,244,-129,-202,85,-75
354.9755,159,-133,111,244,-128,-203,85,-75
354.976,159,-133,111,244,-129,-203,85,-76
354.9765,159,-133,111,243,-129,-203,85,-75
354.977,159,-133,111,244,-129,-202,84,-75
354.9775,158,-133,110,244,-128,-203,85,-75
354.978,159,-133,110,243,-128,-203,85,-76
354.9785,159,-133,110,243,-128,-203,85,-75
354.979,159,-133,110,242,-128,-203,86,-75
354.9795,159,-133,110,242,-128,-202,85,-75
354.98,160,-133,111,243,-129,-203,85,-75
354.9805,159,-133,110,243,-129,-203,85,-75
354.981,159,-133,111,243,-128,-203,85,-75
354.9815,159,-133,110,243,-128,-203,85,-75
354.982,159,-133,110,244,-128,-203,85,-75
354.9825,159,-133,110,244,-128,-203,85,-75
354.983,159,-133,110,244,-128,-203,85,-75
354.9835,160,-133,110,244,-129,-203,84,-75
354.984,159,-133,110,245,-128,-203,85,-75
354.9845,159,-133,110,244,-128,-203,85,-75
354.985,159,-133,110,243,-128,-203,85,-76
354.9855,160,-133,110,244,-128,-203,85,-75
354.986,160,-133,111,243,-128,-203,85,-76
354.9865,160,-133,110,244,-128,-203,85,-75
354.987,160,-133,110,245,-129,-203,85,-75
354.9875,159,-133,110,244,-128,-203,85,-75
354.988,160,-133,110,244,-128,-203,85,-76
354.9885,159,-133,110,244,-128,-203,85,-75
354.989,159,-133,110,243,-128,-203,85,-76
354.9895,160,-133,110,243,-127,-203,85,-75
354.99,160,-133,110,243,-128,-203,85,-76
354.9905,160,-133,110,243,-128,-203,85,-76
354.991,160,-133,109,243,-128,-203,85,-75
354.9915,160,-133,110,243,-128,-203,85,-75
354.992,160,-133,109,243,-127,-203,85,-75
354.9925,160,-133,109,243,-128,-203,85,-75
354.993,160,-133,109,243,-128,-203,85,-76
354.9935,160,-133,109,243,-128,-203,85,-75
354.994,160,-134,110,242,-129,-203,85,-75
354.9945,160,-133,111,242,-128,-203,85,-75
354.995,160,-133,111,242,-128,-203,85,-76
354.9955,160,-133,111,242,-128,-203,85,-76
354.996,160,-133,111,242,-129,-203,85,-76
354.9965,160,-134,110,243,-129,-203,85,-75
354.997,160,-133,110,244,-129,-203,85,-76
354.9975,160,-133,110,244,-128,-203,84,-75
354.998,160,-134,111,244,-128,-203,85,-76
354.9985,160,-134,110,243,-128,-203,84,-76
354.999,160,-133,110,243,-128,-203,85,-76
354.9995,160,-134,110,243,-128,-203,85,-76
355.0,160,-134,110,243,-128,-203,85,-76
355.0005,160,-134,110,244,-129,-203,85,-76
355.001,160,-133,110,244,-129,-203,85,-76
355.0015,160,-133,110,244,-128,-203,85,-76
355.002,160,-134,110,245,-129,-203,85,-76
355.0025,160,-133,110,244,-129,-203,85,-76
355.003,161,-134,110,244,-128,-203,85,-76
355.0035,160,-134,110,243,-128,-203,85,-76
355.004,161,-133,110,243,-128,-203,85,-76
355.0045,161,-134,110,243,-127,-203,85,-76
355.005,160,-134,110,243,-127,-203,85,-76
355.0055,161,-134,110,243,-127,-203,85,-76
355.006,160,-134,109,244,-128,-203,84,-76
355.0065,161,-133,110,244,-128,-203,85,-76
355.007,161,-134,110,245,-129,-203,84,-76
355.0075,161,-134,110,245,-129,-203,85,-76
355.008,161,-134,110,245,-129,-203,84,-76
355.0086,160,-134,109,245,-129,-203,85,-76
355.0091,161,-134,109,245,-128,-203,85,-76
